AbsenceID,EventDate,EmployeeID,AbsenceReason0,AbsenceReason1,AbsenceHours,AbsenceDays,FunctionalCategory,PlanningCategory,CompensationCategory
Absence-703,2017-08-28,Employee-3969,Paid Sick Leave Scheduled,Reason1,0.9600000000000001,0.12000000000000001,Sick Leave,Scheduled,Paid
Absence-704,2017-08-28,Employee-3969,Unpaid Sick Leave Unscheduled,Reason1,7.04,0.88,Sick Leave,Unscheduled,Unpaid
Absence-706,2017-08-28,Employee-3781,Paid Sick Leave Unscheduled,Reason1,14.350165328023206,1.7937706660029007,Sick Leave,Unscheduled,Paid
Absence-707,2017-08-30,Employee-3781,Unpaid Sick Leave Unscheduled,Reason1,11.275129900589594,1.4093912375736992,Sick Leave,Unscheduled,Unpaid
Absence-717,2017-08-28,Employee-1870,Paid Sick Leave Scheduled,Reason1,8.0,1.0,Sick Leave,Scheduled,Paid
Absence-719,2017-08-29,Employee-1754,Unpaid Sick Leave Unscheduled,Reason1,3.126388037344441E-12,3.907985046680551E-13,Sick Leave,Unscheduled,Unpaid
Absence-738,2017-08-28,Employee-4082,Paid Annual Leave Scheduled,Reason1,1.6,0.2,Annual Leave,Scheduled,Paid
Absence-751,2017-08-28,Employee-1826,Paid Annual Leave Scheduled,Reason1,60.04000000000005,7.505000000000006,Annual Leave,Scheduled,Paid
Absence-752,2017-08-28,Employee-1666,Paid Annual Leave Scheduled,Reason1,60.04000000000005,7.505000000000006,Annual Leave,Scheduled,Paid
Absence-755,2017-08-28,Employee-1389,Paid Sick Leave Unscheduled,Reason1,36.479999999996274,4.559999999999534,Sick Leave,Unscheduled,Paid
Absence-756,2017-09-01,Employee-1389,Unpaid Sick Leave Scheduled,Reason1,11.520000000003726,1.4400000000004658,Sick Leave,Scheduled,Unpaid
Absence-773,2017-08-28,Employee-3356,Paid Sick Leave Unscheduled,Reason1,56.0,7.0,Sick Leave,Unscheduled,Paid
Absence-774,2017-08-28,Employee-3202,Paid Annual Leave Unscheduled,Reason1,36.160000000000025,4.520000000000003,Annual Leave,Unscheduled,Paid
Absence-779,2017-08-28,Employee-1933,Paid Annual Leave Scheduled,Reason1,56.0,7.0,Annual Leave,Scheduled,Paid
Absence-780,2017-08-28,Employee-1811,Paid Annual Leave Unscheduled,Reason1,8.0,1.0,Annual Leave,Unscheduled,Paid
Absence-783,2017-08-28,Employee-1723,Paid Annual Leave Scheduled,Reason1,8.0,1.0,Annual Leave,Scheduled,Paid
Absence-790,2017-08-28,Employee-519,Paid Annual Leave Scheduled,Reason1,60.36000000000005,7.545000000000006,Annual Leave,Scheduled,Paid
Absence-794,2017-08-28,Employee-71,Paid Annual Leave Unscheduled,Reason1,3.429313230691061,0.4286641538363826,Annual Leave,Unscheduled,Paid
Absence-803,2017-08-28,Employee-3397,Paid Sick Leave Unscheduled,Reason1,24.160000000000018,3.0200000000000022,Sick Leave,Unscheduled,Paid
Absence-804,2017-08-31,Employee-3397,Unpaid Sick Leave Scheduled,Reason1,15.839999999999982,1.9799999999999978,Sick Leave,Scheduled,Unpaid
Absence-833,2017-08-28,Employee-3966,Paid Annual Leave Unscheduled,Reason1,21.760000000000012,2.7200000000000015,Annual Leave,Unscheduled,Paid
Absence-844,2017-08-28,Employee-1811,Paid Annual Leave Scheduled,Reason1,8.0,1.0,Annual Leave,Scheduled,Paid
Absence-848,2017-08-28,Employee-1657,Paid Sick Leave Unscheduled,Reason1,24.0,3.0,Sick Leave,Unscheduled,Paid
Absence-854,2017-08-28,Employee-854,Paid Annual Leave Scheduled,Reason1,16.640000000000008,2.080000000000001,Annual Leave,Scheduled,Paid
Absence-856,2017-08-28,Employee-833,Paid Annual Leave Scheduled,Reason1,8.0,1.0,Annual Leave,Scheduled,Paid
Absence-861,2017-08-28,Employee-589,Paid Annual Leave Scheduled,Reason1,61.00000000000005,7.625000000000006,Annual Leave,Scheduled,Paid
Absence-862,2017-08-28,Employee-576,Paid Annual Leave Scheduled,Reason1,56.0,7.0,Annual Leave,Scheduled,Paid
Absence-868,2017-08-28,Employee-328,Paid Sick Leave Scheduled,Reason1,8.0,1.0,Sick Leave,Scheduled,Paid
Absence-41,2017-08-28,Employee-3914,Paid Sick Leave Scheduled,Reason1,15.20000000000001,1.9000000000000012,Sick Leave,Scheduled,Paid
Absence-42,2017-08-29,Employee-3914,Unpaid Sick Leave Unscheduled,Reason1,16.79999999999999,2.0999999999999988,Sick Leave,Unscheduled,Unpaid
Absence-46,2017-08-28,Employee-3342,Paid Annual Leave Scheduled,Reason1,8.0,1.0,Annual Leave,Scheduled,Paid
Absence-68,2017-08-28,Employee-588,Paid Annual Leave Scheduled,Reason1,23.360000000000014,2.9200000000000017,Annual Leave,Scheduled,Paid
Absence-86,2017-08-28,Employee-2209,Paid Annual Leave Scheduled,Reason1,40.0,5.0,Annual Leave,Scheduled,Paid
Absence-102,2017-08-28,Employee-934,Paid Sick Leave Unscheduled,Reason1,56.0,7.0,Sick Leave,Unscheduled,Paid
Absence-120,2017-08-28,Employee-1973,Paid Annual Leave Scheduled,Reason1,26.880000000000024,3.360000000000003,Annual Leave,Scheduled,Paid
Absence-124,2017-08-28,Employee-1716,Paid Annual Leave Scheduled,Reason1,5.4781360770964325,0.6847670096370541,Annual Leave,Scheduled,Paid
Absence-132,2017-08-28,Employee-1128,Paid Sick Leave Scheduled,Reason1,8.640000000000004,1.0800000000000005,Sick Leave,Scheduled,Paid
Absence-133,2017-08-29,Employee-1128,Unpaid Sick Leave Unscheduled,Reason1,15.359999999999996,1.9199999999999995,Sick Leave,Unscheduled,Unpaid
Absence-137,2017-08-28,Employee-810,Paid Annual Leave Scheduled,Reason1,8.0,1.0,Annual Leave,Scheduled,Paid
Absence-141,2017-08-28,Employee-416,Paid Sick Leave Unscheduled,Reason1,48.0,6.0,Sick Leave,Unscheduled,Paid
Absence-149,2017-08-28,Employee-3835,Paid Sick Leave Unscheduled,Reason1,8.960000000000012,1.1200000000000014,Sick Leave,Unscheduled,Paid
Absence-150,2017-08-29,Employee-3835,Unpaid Sick Leave Scheduled,Reason1,31.03999999999999,3.8799999999999986,Sick Leave,Scheduled,Unpaid
